Student,ID,SIS User ID,SIS Login ID,Root Account,Section,EC: Extra Credit for Prerequisite / Financial Aid Quiz - see announcement for details (5637677),Prerequisite / Financial Aid Quiz (in EPC only) - see announcement for details- Requires Respondus LockDown Browser (5637533), EC: Module 2 Group Session - Team Challenge: directions at https://tinyurl.com/3801-EC-Grp (5845509),Quiz 1 - directions at https://tinyurl.com/3801-QE- Requires Respondus LockDown Browser (5637603),EC Total to Ex1 (5637685),Midterm Exam 1 + EC + Curve 5pt (5637693),EC: Module sep 29 Group Session - Team Challenge - Fall 2018 (5866901),Midterm Exam 1: directions at https://tinyurl.com/3801-QE- Requires Respondus LockDown Browser (5637661),Quiz 2 - directions at https://tinyurl.com/3801-QE- Requires Respondus LockDown Browser (5637565),EC: Mid-Semester Survey (5637637),EC Total on Ex2 (5637681),Midterm Exam 2-s: directions at https://tinyurl.com/3801-QE- Requires Respondus LockDown Browser (5637653),Midterm Exam 2 + 7 + EC (5637695),Quiz 3 - directions at https://tinyurl.com/3801-QE- Requires Respondus LockDown Browser (5637651),EC Total on FinalEx (5637683),Capstone: EC students elected to panel (5892739),Final Exam-s: directions at https://tinyurl.com/3801-QE- Requires Respondus LockDown Browser (5637649),EC: First 5 mins of 6ab class time - Module 5 Group Session - Individualized Extra Chance: directions at https://tinyurl.com/EC-Ind (5864429),EC: Module 1 Group Session - Team Challenge: directions at https://tinyurl.com/3801-EC-Grp (5840273),EC: Module 1&2 Group Session - Individualized: directions at https://tinyurl.com/3801-EC-Ind (5637659),EC: Module 10 Group Session - Individualized: directions at https://tinyurl.com/3801-EC-Ind (5637627),EC: Module 11ab Group Session - Individualized: directions at https://tinyurl.com/3801-EC-Ind (5637643),EC: Module 3ab Group Session - Individualized: directions at https://tinyurl.com/3801-EC-Ind (5637563),EC: Module 3ab Group Session - Team Challenge: directions at https://tinyurl.com/3801-EC-Grp (5853475),EC: Module 3cd Group Session - Individualized: directions at https://tinyurl.com/3801-EC-Ind (5637657),EC: Module 3cd Group Session - Team Challenge - Fall 2018: directions at https://tinyurl.com/3801-EC-Grp (5859857),EC: Module 4 Group Session - Individualized0: directions athttps://tinyurl.com/3801-EC-Ind (5637591),EC: Module 5 Group Session - Individualized0: directions at https://tinyurl.com/EC-Ind (5637537),EC: Module 6cd Group Session - Individualized: directions at https://tinyurl.com/3801-EC-Ind (5637535),EC: Module 6cd Group Session - Team Challenge: directions athttps://tinyurl.com/3801-EC-Grp (5879615),EC: Module 8 Group Session (afternoon) - Team Challenge: directions athttps://tinyurl.com/3801-EC-Grp (5885961),EC: Module 8 Group Session (morning) - Team Challenge: directions athttps://tinyurl.com/3801-EC-Grp (5885375),EC: Module 8 Group Session - Individualized: directions at https://tinyurl.com/3801-EC-Ind (5637641),EC: Module 9ab Group Session - Individualized: directions at https://tinyurl.com/3801-EC-Ind (5637539),EC: Module 9ab Group Session - Team Challenge: directions at https://tinyurl.com/3801-EC-Grp (5892869),EC: Module 9cd Group Session - Individualized: directions at https://tinyurl.com/3801-EC-Ind (5637599),Final-s + EC (5637687),FYI - not an assignment: Intel Overclocking video (5637689),P1 Overall (5637697),P2 Overall (5637699),P3 Overall (5637701),EC: Module 9cd Group Session - Team Challenge: directions at https://tinyurl.com/3801-EC-Grp (5901737),EC: Capstone Panel Discussion-Edupads-Section 01 (5930193),EC: Capstone Panel Discussion-Edupads-Section 02 (5930191),EC: Capstone Report Peer-Review (5923215),EC: Capstone Paper Panel Perception Survey (5914817),EC: Exit Survey  (5637561),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Assignment Reminders Current Score,Assignment Reminders Unposted Current Score,Assignment Reminders Final Score,Assignment Reminders Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Component Scores (weighted in corresponding category after EC added) Current Score,Component Scores (weighted in corresponding category after EC added) Unposted Current Score,Component Scores (weighted in corresponding category after EC added) Final Score,Component Scores (weighted in corresponding category after EC added) Unposted Final Score,P1 Overall Current Score,P1 Overall Unposted Current Score,P1 Overall Final Score,P1 Overall Unposted Final Score,P2 Overall Current Score,P2 Overall Unposted Current Score,P2 Overall Final Score,P2 Overall Unposted Final Score,P3 Overall Current Score,P3 Overall Unposted Current Score,P3 Overall Final Score,P3 Overall Unposted Final Score,(Midterm Exam 1)+EC Current Score,(Midterm Exam 1)+EC Unposted Current Score,(Midterm Exam 1)+EC Final Score,(Midterm Exam 1)+EC Unposted Final Score,(Midterm Exam 2)+EC Current Score,(Midterm Exam 2)+EC Unposted Current Score,(Midterm Exam 2)+EC Final Score,(Midterm Exam 2)+EC Unposted Final Score,(Final Exam)+EC Current Score,(Final Exam)+EC Unposted Current Score,(Final Exam)+EC Final Score,(Final Exam)+EC Unposted Final Score,Quiz1-Category Current Score,Quiz1-Category Unposted Current Score,Quiz1-Category Final Score,Quiz1-Category Unposted Final Score,Quiz2-Category Current Score,Quiz2-Category Unposted Current Score,Quiz2-Category Final Score,Quiz2-Category Unposted Final Score,Quiz3-Category Current Score,Quiz3-Category Unposted Current Score,Quiz3-Category Final Score,Quiz3-Category Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
,,,,webcourses.ucf.edu,EEL3801C-18Fall 0M02,0,5,3,18.83,8.5,87.5,N/A,74,18.5,1,10,58.47,75.47,24,3.33,,79.26,,N/A,0,,,0.5,N/A,0.5,4,0.5,,2,4,2,N/A,1,0.33,2,0,82.6,,96.97,84.67,79,N/A,0,0,,1,,,,,,,,,,80.12,80.12,71,71,70.6,70.6,70.6,70.6,96.97,96.97,96.97,96.97,84.67,84.67,84.67,84.67,79,79,79,79,87.5,87.5,87.5,87.5,75.47,75.47,75.47,75.47,82.6,82.6,82.6,82.6,75.32,75.32,75.32,75.32,74,74,74,74,96,96,96,96,,,,,82.57,82.57,82.57,82.57,A-,A-,A-,A-
,,,,webcourses.ucf.edu,EEL3801C-18Fall 0M02,0.5,6,3,20.33,5.75,55.92,N/A,45.17,14,1,10,45.6,62.6,19.17,7,,60.77,1,N/A,0.25,1,1,0.5,N/A,0.5,1,0,2,1,,3,N/A,2,1,2,0,67.77,,86.4,81.62,93,N/A,0,2,3,1,1,,,,,,,,,88.5,88.5,81.3,81.3,51.31,51.31,51.31,51.31,86.4,86.4,86.4,86.4,81.62,81.62,81.62,81.62,93,93,93,93,55.92,55.92,55.92,55.92,62.6,62.6,62.6,62.6,67.77,67.77,67.77,67.77,81.33,81.33,81.33,81.33,56,56,56,56,76.68,76.68,76.68,76.68,,,,,69.01,69.01,69.01,69.01,C+,C+,C+,C+
,,,,webcourses.ucf.edu,EEL3801C-18Fall 0M01,0.5,6.67,,15.33,6.5,85.5,4,74,22,1,12.5,63.74,83.23,22.67,8,,43.9,1,2,0,0,1,0.5,3,0,N/A,0.5,1.5,2,N/A,N/A,2,1,1,N/A,1,51.9,,85.23,90.51,89,3,2,0,2,1,1,,,,,,,,,95.04,95.04,89.15,89.15,61.34,61.34,61.34,61.34,85.23,85.23,85.23,85.23,90.51,90.51,90.51,90.51,89,89,89,89,85.5,85.5,85.5,85.5,83.23,83.23,83.23,83.23,51.9,51.9,51.9,51.9,61.32,61.32,61.32,61.32,88,88,88,88,90.68,90.68,90.68,90.68,,,,,77.85,77.85,77.85,77.85,B,B,B,B
,,,,webcourses.ucf.edu,EEL3801C-18Fall 0M01,0.5,7,,25,0.5,86.83,,81.33,20.5,1,1,80.67,88.67,17.67,2,,65.68,,,,,,,,,N/A,,,,N/A,N/A,,,,N/A,,67.68,,60.32,54.53,13,,0,0,2,1,1,,,,,,,,,25,25,13.18,13.18,76.44,76.44,76.44,76.44,60.32,60.32,60.32,60.32,54.53,54.53,54.53,54.53,13,13,13,13,86.83,86.83,86.83,86.83,88.67,88.67,88.67,88.67,67.68,67.68,67.68,67.68,100,100,100,100,82,82,82,82,70.68,70.68,70.68,70.68,,,,,73.36,73.36,73.36,73.36,B-,B-,B-,B-
,,,,webcourses.ucf.edu,EEL3801C-18Fall 0M02,0,6,2,20.33,3,59.67,N/A,51.67,10.5,1,1,57.27,65.27,17.83,3,,45.2,,N/A,,,,0.5,N/A,0.5,,,,,,,N/A,,1,,1,48.2,,67.39,79.9,86,N/A,0,0,,,1,,,,,,,,,35.9,35.9,22.76,22.76,52.16,52.16,52.16,52.16,67.39,67.39,67.39,67.39,79.9,79.9,79.9,79.9,86,86,86,86,59.67,59.67,59.67,59.67,65.27,65.27,65.27,65.27,48.2,48.2,48.2,48.2,81.33,81.33,81.33,81.33,42,42,42,42,71.32,71.32,71.32,71.32,,,,,63.45,63.45,63.45,63.45,C,C,C,C
,,,,webcourses.ucf.edu,EEL3801C-18Fall 0M01,0.5,6,,17.83,6.5,83.83,4,72.33,23.5,1,11.6,53.5,72.1,18,7,,58.08,0,4,0,1,0,0,2,0,N/A,0,1,2,N/A,N/A,3,0.6,1,N/A,0,65.08,,76.89,73.82,100,3,2,0,3,1,1,,,,,,,,,90.41,90.41,84.81,84.81,61.86,61.86,61.86,61.86,76.89,76.89,76.89,76.89,73.82,73.82,73.82,73.82,100,100,100,100,83.83,83.83,83.83,83.83,72.1,72.1,72.1,72.1,65.08,65.08,65.08,65.08,71.32,71.32,71.32,71.32,94,94,94,94,72,72,72,72,,,,,77.04,77.04,77.04,77.04,B,B,B,B
,,,,webcourses.ucf.edu,EEL3801C-18Fall 0M01,0,3.67,,15.83,6.5,71.23,3,59.73,5,1,5,67.66,79.67,15.67,6,,52.23,,3,1,0,0,0,2,0,N/A,0.5,0,1,N/A,N/A,,,1,N/A,1,58.24,,81.27,83.41,49,2,1,0,,1,1,,,,,,,,,64.86,64.86,55.81,55.81,59.7,59.7,59.7,59.7,81.27,81.27,81.27,81.27,83.41,83.41,83.41,83.41,49,49,49,49,71.23,71.23,71.23,71.23,79.67,79.67,79.67,79.67,58.24,58.24,58.24,58.24,63.33,63.33,63.33,63.33,20,20,20,20,62.69,62.69,62.69,62.69,,,,,65.39,65.39,65.39,65.39,C+,C+,C+,C+
,,,,webcourses.ucf.edu,EEL3801C-18Fall 0M01,0.5,5.67,,0,8,85.97,,72.97,11,1,2,68.33,77.33,12.17,3.33,,41.78,,3,1,,1,1.5,2,0,N/A,0,1,,N/A,N/A,,,0.33,N/A,,45.11,,76.58,70.41,50,,0,0,,1,1,,,,,,,,,57.5,57.5,40.56,40.56,61.48,61.48,61.48,61.48,76.58,76.58,76.58,76.58,70.41,70.41,70.41,70.41,50,50,50,50,85.97,85.97,85.97,85.97,77.33,77.33,77.33,77.33,45.11,45.11,45.11,45.11,0,0,0,0,44,44,44,44,48.68,48.68,48.68,48.68,,,,,60.62,60.62,60.62,60.62,C,C,C,C
,,,,webcourses.ucf.edu,EEL3801C-18Fall 0M01,0.5,5,,6.5,5,46,,36,12.5,1,3,25.13,46,11.67,2,,21.52,1,4,0,,,0.5,,,N/A,0,,1,N/A,N/A,,,0,N/A,,23.52,,67.29,72.38,86,,2,0,2,1,1,,,,,,,,,54.65,54.65,36.43,36.43,28.55,28.55,28.55,28.55,67.29,67.29,67.29,67.29,72.38,72.38,72.38,72.38,86,86,86,86,46,46,46,46,46,46,46,46,23.52,23.52,23.52,23.52,26,26,26,26,50,50,50,50,46.68,46.68,46.68,46.68,,,,,46.6,46.6,46.6,46.6,F,F,F,F
,,,,webcourses.ucf.edu,EEL3801C-18Fall 0M02,0.5,5.67,,25,1,86,N/A,80,12,1,1,81.67,89.67,12.33,2,,65.3,,N/A,0.5,,,,N/A,,,,,,,,N/A,,,,,67.3,,89.07,68.04,89,N/A,0,0,,1,1,,,,,,,,,21.43,21.43,12.2,12.2,75.78,75.78,75.78,75.78,89.07,89.07,89.07,89.07,68.04,68.04,68.04,68.04,89,89,89,89,86,86,86,86,89.67,89.67,89.67,89.67,67.3,67.3,67.3,67.3,100,100,100,100,48,48,48,48,49.32,49.32,49.32,49.32,,,,,78.09,78.09,78.09,78.09,B,B,B,B
